name,data
test1,"[[(0.547007143497467, 0.3776310682296753, -0.39457187056541443), (0.5558702349662781, 0.3665511906147003, -0.34871527552604675), (0.5625532269477844, 0.3672047257423401, -0.34878379106521606), (0.5683516263961792, 0.36783137917518616, -0.3487519323825836), (0.5330073237419128, 0.36462610960006714, -0.37121954560279846), (0.5237671732902527, 0.3639238178730011, -0.3711835741996765), (0.5143523812294006, 0.36335229873657227, -0.3710932731628418), (0.5690813064575195, 0.37355080246925354, -0.10827845335006714), (0.4957468807697296, 0.3674226403236389, -0.21197767555713654), (0.5536110401153564, 0.39308834075927734, -0.30341389775276184), (0.5304868221282959, 0.3911820650100708, -0.33224573731422424), (0.5823545455932617, 0.4453301727771759, 0.14892578125), (0.42004236578941345, 0.4380854368209839, -0.23259015381336212), (0.5917508602142334, 0.5244297385215759, 0.298833966255188), (0.3518635034561157, 0.5231993198394775, -0.39290130138397217), (0.7048934698104858, 0.5468392968177795, 0.10868470370769501), (0.4324823021888733, 0.5620589852333069, -0.6585453152656555), (0.7419784069061279, 0.5539295077323914, 0.07899972051382065), (0.44884538650512695, 0.5793152451515198, -0.7321119904518127), (0.7464975118637085, 0.5473992824554443, 0.016394659876823425), (0.46828344464302063, 0.5711583495140076, -0.7359824180603027), (0.7319048047065735, 0.5450506806373596, 0.07706516236066818), (0.4684605002403259, 0.5658064484596252, -0.659629762172699), (0.49380770325660706, 0.6226730346679688, 0.16052158176898956), (0.43029704689979553, 0.6233981847763062, -0.16073770821094513), (0.4160652160644531, 0.723532497882843, 0.45557621121406555), (0.534473180770874, 0.7375957369804382, -0.34270694851875305), (0.3631342351436615, 0.8166971206665039, 0.7976001501083374), (0.5549130439758301, 0.8726229071617126, -0.4467301070690155), (0.32277628779411316, 0.8363533616065979, 0.8234747648239136), (0.5307039618492126, 0.9011405110359192, -0.46457964181900024), (0.43972358107566833, 0.8344972729682922, 0.754771888256073), (0.6660038232803345, 0.9072444438934326, -0.6674510836601257)], [(0.5481894612312317, 0.3777180314064026, -0.3940398395061493), (0.5567659735679626, 0.3666500151157379, -0.3483193516731262), (0.5632268786430359, 0.36728644371032715, -0.3483864963054657), (0.5688908696174622, 0.3678961992263794, -0.34835323691368103), (0.534007728099823, 0.36474743485450745, -0.37077203392982483), (0.5248392820358276, 0.3640417158603668, -0.37073567509651184), (0.5154162049293518, 0.3634842038154602, -0.3706451952457428), (0.5695298910140991, 0.37363824248313904, -0.10819961130619049), (0.49661359190940857, 0.3676303029060364, -0.21186721324920654), (0.5548592209815979, 0.39313018321990967, -0.3030659854412079), (0.5317496657371521, 0.3912695348262787, -0.33184370398521423), (0.5827106833457947, 0.44545793533325195, 0.14964838325977325), (0.42066827416419983, 0.43821442127227783, -0.23254846036434174), (0.5918042659759521, 0.5245270729064941, 0.30085504055023193), (0.3518854081630707, 0.5231512784957886, -0.3958205282688141), (0.7054255604743958, 0.5467703342437744, 0.11334993690252304), (0.43123334646224976, 0.5616637468338013, -0.6629944443702698), (0.7429973483085632, 0.5539188385009766, 0.0847075805068016), (0.44780799746513367, 0.5789312720298767, -0.7362091541290283), (0.7475887537002563, 0.5473537445068359, 0.02219102531671524), (0.4669501781463623, 0.5706043839454651, -0.7393479347229004), (0.7329080700874329, 0.5449575781822205, 0.08188221603631973), (0.46731066703796387, 0.5652762055397034, -0.6637308597564697), (0.4936983287334442, 0.6229150295257568, 0.16086480021476746), (0.4306568205356598, 0.6237908601760864, -0.1610901951789856), (0.4160648584365845, 0.7235416173934937, 0.46066394448280334), (0.534493625164032, 0.7377659678459167, -0.3381972908973694), (0.3631417453289032, 0.8167902231216431, 0.7969619035720825), (0.5549097657203674, 0.8729383945465088, -0.4415510296821594), (0.322872132062912, 0.836385190486908, 0.8229864835739136), (0.5307127237319946, 0.901360034942627, -0.45917513966560364), (0.43973538279533386, 0.8345102071762085, 0.7537935972213745), (0.6659595966339111, 0.9074360132217407, -0.659862756729126)]]"
test2,"[[(0.5478619933128357, 0.37653180956840515, -0.4436071515083313), (0.5572686791419983, 0.36518394947052, -0.3935798406600952), (0.564481794834137, 0.3659406006336212, -0.3936784863471985), (0.5705508589744568, 0.36665454506874084, -0.3936438262462616), (0.5338009595870972, 0.36302444338798523, -0.41497188806533813), (0.5247524976730347, 0.36232200264930725, -0.4149802625179291), (0.5152174234390259, 0.3617905080318451, -0.41491588950157166), (0.573845624923706, 0.3725641667842865, -0.11783220618963242), (0.49624308943748474, 0.36618831753730774, -0.2168911248445511), (0.5556538105010986, 0.3921356201171875, -0.33898597955703735), (0.5313249826431274, 0.38946813344955444, -0.3666229248046875), (0.5915342569351196, 0.4439750909805298, 0.15371450781822205), (0.4163224697113037, 0.4326642155647278, -0.18188241124153137), (0.616096019744873, 0.5167990326881409, 0.31136801838874817), (0.3433148264884949, 0.5017133355140686, -0.3038876950740814), (0.7378469705581665, 0.5316797494888306, 0.10021145641803741), (0.2743890881538391, 0.5532500147819519, -0.6320006847381592), (0.7773235440254211, 0.5370159149169922, 0.06856635212898254), (0.24572385847568512, 0.5719406604766846, -0.7019588351249695), (0.7852123975753784, 0.528288722038269, -0.0018268991261720657), (0.25139889121055603, 0.5741419792175293, -0.7554536461830139), (0.7686827778816223, 0.5264453887939453, 0.06389746814966202), (0.2641652524471283, 0.5690404772758484, -0.6583409905433655), (0.49954479932785034, 0.618771493434906, 0.16243338584899902), (0.4373958110809326, 0.6214475631713867, -0.16255652904510498), (0.4233296811580658, 0.7208905816078186, 0.3813597559928894), (0.5302098989486694, 0.7394420504570007, -0.4299106299877167), (0.36595994234085083, 0.8167638778686523, 0.7116637229919434), (0.5533429980278015, 0.8736242651939392, -0.48665356636047363), (0.32451102137565613, 0.8372441530227661, 0.7341717481613159), (0.5325835943222046, 0.9023812413215637, -0.502610981464386), (0.43775179982185364, 0.8355146050453186, 0.632924497127533), (0.6638525724411011, 0.9076678156852722, -0.7329297065734863)], [(0.5479038953781128, 0.37666887044906616, -0.44461968541145325), (0.5572866797447205, 0.36521580815315247, -0.3945627510547638), (0.5645074844360352, 0.3659757673740387, -0.39466702938079834), (0.5705703496932983, 0.3666830062866211, -0.3946377635002136), (0.5338003039360046, 0.3630322813987732, -0.4166664779186249), (0.524750292301178, 0.36232587695121765, -0.41667577624320984), (0.5152168273925781, 0.3617931306362152, -0.4166029095649719), (0.5738521814346313, 0.372560977935791, -0.11804202198982239), (0.4962524175643921, 0.3661864697933197, -0.22028346359729767), (0.5556901097297668, 0.3923255503177643, -0.33952945470809937), (0.5313658714294434, 0.38967394828796387, -0.3680402338504791), (0.5919046401977539, 0.44397440552711487, 0.15382879972457886), (0.4159362018108368, 0.43266862630844116, -0.1823907494544983), (0.620915412902832, 0.5168036222457886, 0.30969592928886414), (0.3427909016609192, 0.5020982027053833, -0.30175936222076416), (0.7410565614700317, 0.5316070318222046, 0.09618330746889114), (0.2702066898345947, 0.5558204650878906, -0.627933144569397), (0.781444787979126, 0.5370085835456848, 0.06383435428142548), (0.24053440988063812, 0.5743311047554016, -0.6987192630767822), (0.7890275120735168, 0.5282644033432007, -0.0073944516479969025), (0.2457863688468933, 0.5765622854232788, -0.752765417098999), (0.7716931104660034, 0.526383101940155, 0.05927884578704834), (0.2578809857368469, 0.5716708302497864, -0.6547446846961975), (0.4998388886451721, 0.6187736988067627, 0.16272632777690887), (0.437419593334198, 0.6215210556983948, -0.16284680366516113), (0.42361629009246826, 0.7212996482849121, 0.3812451660633087), (0.5300769805908203, 0.7398467063903809, -0.4270155429840088), (0.3659662902355194, 0.8167552947998047, 0.7163022756576538), (0.5530497431755066, 0.873714029788971, -0.46812769770622253), (0.32449406385421753, 0.8371575474739075, 0.7392509579658508), (0.5324236154556274, 0.9023828506469727, -0.48310786485671997), (0.43774130940437317, 0.8355269432067871, 0.638313353061676), (0.6636984944343567, 0.9076664447784424, -0.7153905630111694)]]"
below-spinning,"[[(0.44187405705451965, 0.4121861457824707, 0.21005336940288544), (0.44318076968193054, 0.3990255296230316, 0.1345853954553604), (0.44379717111587524, 0.39878198504447937, 0.13441874086856842), (0.44463056325912476, 0.39857909083366394, 0.13433539867401123), (0.449703574180603, 0.39715278148651123, 0.18623074889183044), (0.455401211977005, 0.39544203877449036, 0.18623274564743042), (0.4617283344268799, 0.3936495780944824, 0.1859336793422699), (0.46888312697410583, 0.39969345927238464, -0.1082729920744896), (0.4907349646091461, 0.39252376556396484, 0.12454405426979065), (0.4553378224372864, 0.4210570156574249, 0.13587968051433563), (0.4627419710159302, 0.41914787888526917, 0.20213373005390167), (0.48623257875442505, 0.45464015007019043, -0.24780508875846863), (0.6497287154197693, 0.4301837980747223, 0.18471659719944), (0.4952998757362366, 0.5576244592666626, -0.2513258159160614), (0.6559843420982361, 0.5127007365226746, 0.43238866329193115), (0.4321925938129425, 0.6181905269622803, -0.029705189168453217), (0.592141330242157, 0.5664516687393188, 0.7240725755691528), (0.4127234220504761, 0.6397451758384705, -0.033414244651794434), (0.5761939287185669, 0.5750061869621277, 0.7897847294807434), (0.4040849804878235, 0.6338655352592468, -0.011188989505171776), (0.5573731064796448, 0.5739809274673462, 0.7523151636123657), (0.41276228427886963, 0.6269398331642151, -0.010828644037246704), (0.5599393844604492, 0.5718225836753845, 0.7150360941886902), (0.6074015498161316, 0.6264474391937256, -0.06264898926019669), (0.7165805697441101, 0.6159256100654602, 0.061691585928201675), (0.5704556703567505, 0.7392037510871887, 0.24874979257583618), (0.7380319833755493, 0.7523038387298584, 0.3188633918762207), (0.5346727967262268, 0.8486747145652771, 0.514881432056427), (0.7804526686668396, 0.8826627135276794, 0.5034970641136169), (0.5365836024284363, 0.8753419518470764, 0.5459516048431396), (0.7884646058082581, 0.910568118095398, 0.526398777961731), (0.506962776184082, 0.8383594155311584, 0.5697915554046631), (0.7629218697547913, 0.8736237287521362, 0.509839653968811)]]"
above-spining,"[[(0.666707456111908, 0.38758203387260437, -0.4318564832210541), (0.6789206862449646, 0.37858524918556213, -0.39436274766921997), (0.6840391755104065, 0.37945348024368286, -0.39431869983673096), (0.6888090968132019, 0.38030946254730225, -0.394259512424469), (0.6598522067070007, 0.3749489188194275, -0.420847088098526), (0.6510674357414246, 0.37310054898262024, -0.420876145362854), (0.6416721940040588, 0.37121784687042236, -0.4208070635795593), (0.6837302446365356, 0.38385647535324097, -0.17969222366809845), (0.6205493807792664, 0.37097975611686707, -0.3008873760700226), (0.6654325723648071, 0.4017496407032013, -0.34654849767684937), (0.6433913707733154, 0.3967427909374237, -0.38120827078819275), (0.6504693031311035, 0.44039401412010193, 0.09899968653917313), (0.5490961074829102, 0.42294320464134216, -0.3664107620716095), (0.666945219039917, 0.515471339225769, 0.22627493739128113), (0.5025281310081482, 0.5117958784103394, -0.4518096148967743), (0.6995235085487366, 0.5850326418876648, 0.10777852684259415), (0.6132493615150452, 0.5833433866500854, -0.5127418637275696), (0.7115851640701294, 0.6115108728408813, 0.08691554516553879), (0.6252121925354004, 0.6101760268211365, -0.5753878355026245), (0.7088593244552612, 0.6109650135040283, 0.03695898503065109), (0.647540807723999, 0.6037188172340393, -0.5765734314918518), (0.7026939988136292, 0.6015068888664246, 0.08354750275611877), (0.6466209292411804, 0.5949536561965942, -0.5084192156791687), (0.5600320100784302, 0.5886526703834534, 0.17843347787857056), (0.5094640254974365, 0.5858394503593445, -0.17868250608444214), (0.5276459455490112, 0.6925017237663269, 0.49510136246681213), (0.5884706974029541, 0.7042194604873657, -0.3136860132217407), (0.47265273332595825, 0.7637210488319397, 0.8169202208518982), (0.6050425171852112, 0.8370062708854675, -0.4092227518558502), (0.44057613611221313, 0.7790003418922424, 0.8403006792068481), (0.582560658454895, 0.8585187792778015, -0.4284367859363556), (0.5110993385314941, 0.7906075119972229, 0.7740548849105835), (0.7040727138519287, 0.8594215512275696, -0.6115636229515076)], [(0.6639508605003357, 0.38404762744903564, -0.38763895630836487), (0.6752884387969971, 0.3746422827243805, -0.35113462805747986), (0.6798839569091797, 0.37535303831100464, -0.3510698080062866), (0.6841520071029663, 0.3760010302066803, -0.3509936034679413), (0.6571234464645386, 0.371299684047699, -0.3784961998462677), (0.648337721824646, 0.3694145083427429, -0.3784761428833008), (0.6385723948478699, 0.36751002073287964, -0.37834587693214417), (0.6771514415740967, 0.37900039553642273, -0.13966615498065948), (0.6164731979370117, 0.3670150935649872, -0.2650298774242401), (0.6620056629180908, 0.39789173007011414, -0.30303120613098145), (0.6410764455795288, 0.3932732343673706, -0.33876270055770874), (0.6370024681091309, 0.4338175058364868, 0.1348019242286682), (0.5511852502822876, 0.4180704951286316, -0.3356391489505768), (0.6558520793914795, 0.507431149482727, 0.26325443387031555), (0.502699077129364, 0.5069498419761658, -0.4324650764465332), (0.7000628113746643, 0.5713802576065063, 0.1404532939195633), (0.6123083233833313, 0.5767310261726379, -0.4861294627189636), (0.7142564654350281, 0.595463216304779, 0.12182100862264633), (0.6256589889526367, 0.6029747724533081, -0.5463218092918396), (0.7136707305908203, 0.5962945818901062, 0.06723961979150772), (0.6478695869445801, 0.5961785912513733, -0.5438294410705566), (0.7070696353912354, 0.5884840488433838, 0.11423495411872864), (0.6465528607368469, 0.5873969197273254, -0.4805153012275696), (0.558835506439209, 0.5858389735221863, 0.17830701172351837), (0.5186945199966431, 0.5850163102149963, -0.17857180535793304), (0.5187754034996033, 0.6886568069458008, 0.4944034218788147), (0.587909460067749, 0.7043144106864929, -0.21999357640743256), (0.4688655436038971, 0.7645208239555359, 0.7246530652046204), (0.6050270199775696, 0.8358837962150574, -0.2821063995361328), (0.43811026215553284, 0.7822583913803101, 0.7437093257904053), (0.5827077031135559, 0.8573027849197388, -0.29652735590934753), (0.5133228302001953, 0.7868843078613281, 0.6869997382164001), (0.7032522559165955, 0.8590917587280273, -0.45459669828414917)]]"
