name,category,data
back-spinning,upper_body,"[[(0.48808711767196655, 0.41432368755340576, 0.25593313574790955), (0.4849017858505249, 0.4032233953475952, 0.1826457530260086), (0.4828116297721863, 0.40370506048202515, 0.1825237274169922), (0.48061859607696533, 0.40445971488952637, 0.18243737518787384), (0.4943818151950836, 0.4006243944168091, 0.2258409708738327), (0.4992806613445282, 0.3991716802120209, 0.2258530706167221), (0.5043902397155762, 0.39792150259017944, 0.22556200623512268), (0.49246957898139954, 0.4068494439125061, -0.06892303377389908), (0.5240495800971985, 0.39784568548202515, 0.12425965070724487), (0.49402615427970886, 0.4222402572631836, 0.1781376302242279), (0.5040846467018127, 0.41968706250190735, 0.23425577580928802), (0.4901234805583954, 0.4535454511642456, -0.20200270414352417), (0.6728553771972656, 0.431359201669693, 0.13311247527599335), (0.49866291880607605, 0.555709183216095, -0.19885487854480743), (0.7059879302978516, 0.5186603665351868, 0.37572795152664185), (0.44301921129226685, 0.6223239898681641, 0.0016560221556574106), (0.6373963356018066, 0.5558071732521057, 0.7135363221168518), (0.4250902831554413, 0.6456400156021118, 0.0019090373534709215), (0.6362026929855347, 0.5589461326599121, 0.7785149812698364), (0.421393483877182, 0.6419579982757568, 0.020637409761548042), (0.6159050464630127, 0.5572677254676819, 0.7496930956840515), (0.4297502636909485, 0.6340847015380859, 0.018244648352265358), (0.6158202290534973, 0.5560909509658813, 0.7090511322021484), (0.6128466129302979, 0.6225892305374146, -0.05143711715936661), (0.7341603636741638, 0.6139172911643982, 0.050435423851013184), (0.5718792676925659, 0.7337632179260254, 0.24022379517555237), (0.7516721487045288, 0.7494803071022034, 0.29576176404953003), (0.5308369398117065, 0.8467645645141602, 0.48367252945899963), (0.7832217216491699, 0.8815253376960754, 0.4652532637119293), (0.5321535468101501, 0.8734136819839478, 0.5140804648399353), (0.7933037281036377, 0.9068915247917175, 0.4873808026313782), (0.5086246728897095, 0.8346738219261169, 0.5338504910469055), (0.7839009761810303, 0.8797377347946167, 0.46365728974342346)]]"
top-spinning,upper_body,"[[(0.6102749705314636, 0.36600521206855774, 0.15884758532047272), (0.6154707074165344, 0.3539890646934509, 0.07869040220975876), (0.6159424781799316, 0.3539310395717621, 0.07850196957588196), (0.6165171265602112, 0.353890985250473, 0.0784304291009903), (0.6212432384490967, 0.3530842959880829, 0.12961870431900024), (0.6256318092346191, 0.3523412048816681, 0.12966571748256683), (0.6303173899650574, 0.35155749320983887, 0.12941931188106537), (0.6382132172584534, 0.3587522506713867, -0.16206350922584534), (0.6557302474975586, 0.35537540912628174, 0.06199171766638756), (0.6169627904891968, 0.3767111897468567, 0.08822441846132278), (0.6246421337127686, 0.3762418329715729, 0.1533765196800232), (0.6273012161254883, 0.41851890087127686, -0.2865559756755829), (0.7818262577056885, 0.4107736051082611, 0.12584534287452698), (0.5749820470809937, 0.5035632252693176, -0.2677743434906006), (0.7983380556106567, 0.48987188935279846, 0.3200288414955139), (0.4711337983608246, 0.4835619032382965, -0.056551527231931686), (0.7190841436386108, 0.5209124684333801, 0.5283914804458618), (0.43792811036109924, 0.48289209604263306, -0.06717386841773987), (0.7027876973152161, 0.5297186374664307, 0.5731093287467957), (0.43833231925964355, 0.47402119636535645, -0.03095575049519539), (0.7002102136611938, 0.5285141468048096, 0.538571298122406), (0.45226359367370605, 0.47460296750068665, -0.03218166530132294), (0.6978793740272522, 0.527306854724884, 0.5192239880561829), (0.6742830872535706, 0.5961088538169861, -0.0971413403749466), (0.7838020920753479, 0.59380704164505, 0.09635507315397263), (0.6200298070907593, 0.7087151408195496, 0.15448571741580963), (0.8235636353492737, 0.7028561234474182, 0.3610703647136688), (0.6046755909919739, 0.8223967552185059, 0.35952338576316833), (0.8901997208595276, 0.8205839991569519, 0.5185866355895996), (0.6211724281311035, 0.8474211096763611, 0.38498666882514954), (0.8933092355728149, 0.8471696972846985, 0.5408382415771484), (0.5281339883804321, 0.8138337731361389, 0.395037442445755), (0.8584182262420654, 0.8209912180900574, 0.5494092106819153)]]"
bh-back-spinning,upper_body,"[[(0.698261022567749, 0.3942081332206726, -0.4765717089176178), (0.7063277363777161, 0.38520631194114685, -0.43372416496276855), (0.7104360461235046, 0.38590866327285767, -0.4336988925933838), (0.7142316699028015, 0.3864346146583557, -0.4336070716381073), (0.6887437105178833, 0.3822858929634094, -0.4648032486438751), (0.6799584627151489, 0.3809891939163208, -0.4648313522338867), (0.671086311340332, 0.3795791566371918, -0.4647391736507416), (0.7063893675804138, 0.3901391923427582, -0.1953240931034088), (0.6521636247634888, 0.37941688299179077, -0.3351469039916992), (0.6948586106300354, 0.40734708309173584, -0.3825654089450836), (0.676135241985321, 0.40390950441360474, -0.42287591099739075), (0.6496930718421936, 0.44189155101776123, 0.10772271454334259), (0.573013424873352, 0.4286647140979767, -0.39260441064834595), (0.6182823777198792, 0.5115079283714294, 0.22782297432422638), (0.5119559168815613, 0.5128782987594604, -0.46918225288391113), (0.671456515789032, 0.5621609687805176, 0.06989206373691559), (0.639244556427002, 0.5670264959335327, -0.5104571580886841), (0.7026470303535461, 0.5815334916114807, 0.04647199809551239), (0.6583905220031738, 0.5850158929824829, -0.5688581466674805), (0.7164263129234314, 0.5775486826896667, -0.002540594432502985), (0.6789977550506592, 0.5769714713096619, -0.5632094740867615), (0.7036163806915283, 0.5698838829994202, 0.04292207583785057), (0.6716673970222473, 0.5693750977516174, -0.502585232257843), (0.552625834941864, 0.5909935235977173, 0.1873302012681961), (0.5107218027114868, 0.5905365943908691, -0.18755175173282623), (0.5186441540718079, 0.6957335472106934, 0.5153369307518005), (0.6047046184539795, 0.7061959505081177, -0.30657958984375), (0.4704931974411011, 0.7672566771507263, 0.8283917903900146), (0.6058672070503235, 0.8359872102737427, -0.3642789125442505), (0.43581536412239075, 0.7851595878601074, 0.8512317538261414), (0.5809392333030701, 0.8582652807235718, -0.37783899903297424), (0.5038089752197266, 0.7900269627571106, 0.7888011336326599), (0.7072545886039734, 0.860572338104248, -0.5539296865463257)]]"
cross-step,lower_body,"[[(0.5529360771179199, 0.40222495794296265, -0.40224283933639526), (0.564494788646698, 0.39203181862831116, -0.3608517050743103), (0.571184515953064, 0.3929647207260132, -0.3609616160392761), (0.5772705674171448, 0.39395564794540405, -0.3608543276786804), (0.5429298877716064, 0.3892320692539215, -0.38611751794815063), (0.5333797335624695, 0.38803455233573914, -0.3861275911331177), (0.5240783095359802, 0.3871619403362274, -0.38606321811676025), (0.5766157507896423, 0.3993804156780243, -0.11812407523393631), (0.5024163126945496, 0.3899127244949341, -0.236009418964386), (0.555867075920105, 0.4175751507282257, -0.30852097272872925), (0.5329787731170654, 0.41461339592933655, -0.34162676334381104), (0.570766270160675, 0.46138203144073486, 0.1219467967748642), (0.41308361291885376, 0.45422154664993286, -0.23056334257125854), (0.5393944382667542, 0.5313243269920349, 0.07446686923503876), (0.3281055688858032, 0.5339230298995972, -0.40060725808143616), (0.5813209414482117, 0.5475505590438843, -0.3596031963825226), (0.41048961877822876, 0.5572984218597412, -0.6797014474868774), (0.5953335165977478, 0.5549359917640686, -0.44304752349853516), (0.4333984851837158, 0.5699766278266907, -0.7587963342666626), (0.5919298529624939, 0.5472916960716248, -0.4825281798839569), (0.4488326907157898, 0.5592454075813293, -0.7687720656394958), (0.5831430554389954, 0.5434838533401489, -0.3878331482410431), (0.4445893466472626, 0.5555917620658875, -0.6820457577705383), (0.4511156976222992, 0.6223288178443909, 0.1696433424949646), (0.39868858456611633, 0.6224088072776794, -0.16985030472278595), (0.3857957720756531, 0.7103137373924255, 0.5822403430938721), (0.5009823441505432, 0.7336195111274719, -0.3600672483444214), (0.31785067915916443, 0.796034574508667, 0.9538400173187256), (0.5059306025505066, 0.864341139793396, -0.5136366486549377), (0.28182631731033325, 0.8133121132850647, 0.9824364185333252), (0.47464612126350403, 0.8880335092544556, -0.537651002407074), (0.4011109471321106, 0.8154933452606201, 0.9134137630462646), (0.6171188950538635, 0.9033647179603577, -0.7443474531173706)], [(0.5532820820808411, 0.40231844782829285, -0.3996277153491974), (0.5646504759788513, 0.3921456038951874, -0.3578553795814514), (0.5712660551071167, 0.3930709958076477, -0.35796618461608887), (0.5772905945777893, 0.3940404951572418, -0.35785895586013794), (0.5432498455047607, 0.3893117904663086, -0.38359031081199646), (0.5337064862251282, 0.3880969285964966, -0.38360077142715454), (0.5244370102882385, 0.3871868848800659, -0.38353219628334045), (0.5765730738639832, 0.3993935286998749, -0.11389096826314926), (0.5026541948318481, 0.3899022936820984, -0.2341119945049286), (0.5559937953948975, 0.4176134467124939, -0.3055208921432495), (0.5333743095397949, 0.4146893620491028, -0.33922696113586426), (0.5707297325134277, 0.46138444542884827, 0.12473046034574509), (0.4128747880458832, 0.45422521233558655, -0.22760576009750366), (0.5340674519538879, 0.5299867391586304, 0.0831514522433281), (0.32807469367980957, 0.5336923599243164, -0.3976062834262848), (0.5806519389152527, 0.5475564002990723, -0.34721827507019043), (0.4086763262748718, 0.5573191046714783, -0.6792036890983582), (0.5950848460197449, 0.5552025437355042, -0.4295106530189514), (0.4318411648273468, 0.5701270699501038, -0.7585237622261047), (0.5914556384086609, 0.5477763414382935, -0.4698846936225891), (0.4473821222782135, 0.5593997836112976, -0.7688054442405701), (0.5825711488723755, 0.5439077019691467, -0.3756839334964752), (0.4429067075252533, 0.5556797981262207, -0.6817804574966431), (0.45114240050315857, 0.6223304271697998, 0.16941380500793457), (0.3986695110797882, 0.6224126815795898, -0.16961030662059784), (0.3857858180999756, 0.7103099822998047, 0.5794684886932373), (0.5008364319801331, 0.7335864305496216, -0.3641692101955414), (0.3178325295448303, 0.7960336804389954, 0.9479883313179016), (0.5059329271316528, 0.8643154501914978, -0.5214851498603821), (0.28181976079940796, 0.8133254051208496, 0.9762129783630371), (0.4746532142162323, 0.8880386352539062, -0.5458223819732666), (0.401073157787323, 0.8155181407928467, 0.9077046513557434), (0.6171852946281433, 0.903373122215271, -0.752170205116272)]]"
short-step,lower_body,"[[(0.4000958502292633, 0.4064589738845825, 0.3408624231815338), (0.38731786608695984, 0.39450371265411377, 0.2980029284954071), (0.3806893527507782, 0.39306002855300903, 0.29795384407043457), (0.3738110661506653, 0.39173221588134766, 0.29779502749443054), (0.4005458354949951, 0.3967815935611725, 0.2790003716945648), (0.4032217860221863, 0.3969109058380127, 0.2790975272655487), (0.4057013690471649, 0.3971204459667206, 0.27890878915786743), (0.3543766140937805, 0.39465782046318054, 0.09818822890520096), (0.3970927596092224, 0.40073251724243164, 0.04305000603199005), (0.3865913152694702, 0.41319960355758667, 0.2942240536212921), (0.3992905020713806, 0.41507488489151, 0.27023258805274963), (0.21164599061012268, 0.4506612718105316, 0.08569307625293732), (0.42663997411727905, 0.44993165135383606, -0.10322915762662888), (0.15531912446022034, 0.5427223443984985, 0.3369373679161072), (0.437738835811615, 0.5439931750297546, -0.0007100137881934643), (0.22413399815559387, 0.5470963716506958, 0.6631433367729187), (0.5299285054206848, 0.5693113803863525, 0.2768184244632721), (0.2371293157339096, 0.5512949824333191, 0.7065321207046509), (0.5560872554779053, 0.5747290253639221, 0.31130310893058777), (0.25814273953437805, 0.5432798266410828, 0.6935389637947083), (0.558407187461853, 0.5678861737251282, 0.31192946434020996), (0.2581080198287964, 0.5426661372184753, 0.6684061288833618), (0.5467506647109985, 0.5666206479072571, 0.28986263275146484), (0.21011877059936523, 0.6499304175376892, 0.07506450265645981), (0.34409967064857483, 0.6487650871276855, -0.07542631775140762), (0.20085574686527252, 0.7871323823928833, 0.1112499013543129), (0.42263108491897583, 0.7809466123580933, 0.0975060909986496), (0.19598746299743652, 0.9180120229721069, 0.11504984647035599), (0.4284840226173401, 0.9311294555664062, 0.10463308542966843), (0.18563897907733917, 0.9482842683792114, 0.11547616869211197), (0.4162563383579254, 0.9577341079711914, 0.11154107004404068), (0.20715829730033875, 0.9274696707725525, 0.09616448730230331), (0.4921676516532898, 0.9276660084724426, 0.12154881656169891)]]"
